"filename", "language", "JSON", "JSON with Comments", "Ignore", "Markdown", "MS SQL", "JavaScript", "Docker", "JavaScript JSX", "YAML", "CSV", "Properties", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Ministerra\frontend\src\mainSections\Entrance.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Ministerra\frontend\src\mainSections\Event.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 16, 22, 226
"c:\Ministerra\frontend\src\mainSections\Foundation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 13, 8, 108
"c:\Ministerra\frontend\src\mainSections\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 366, 0, 0, 0, 0, 0, 0, 46, 39, 451
"c:\Ministerra\frontend\src\mainSections\ProfileSetup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 7, 9, 123
"c:\Ministerra\frontend\src\mainSections\Setup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 17, 26, 288
"c:\Ministerra\frontend\src\utils\getToken.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Ministerra\frontend\src\utils\locationUtils.js", "JavaScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 148
"c:\Ministerra\frontend\src\utils\userProfileUtils.js", "JavaScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 42
"c:\Ministerra\frontend\src\variables.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Ministerra\frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 53
"c:\Ministerra\frontend\vite.config.js.timestamp-1699023498311-16bd62249686c.mjs", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 15
"c:\Ministerra\frontend\workers\forageSetWorker.js", "JavaScript", 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 34, 32, 324
"c:\Ministerra\package-lock.json", "JSON", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 389
"c:\Ministerra\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Ministerra\scripts\docker-clean.js", "JavaScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 125
"c:\Ministerra\test_extraction.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 39
"Total", "-", 17202, 72, 0, 2480, 845, 14984, 36, 15218, 1099, 784, 63, 17, 6681, 2088, 3026, 4991, 69586
