"filename", "language", "JavaScript", "JavaScript JSX", "Markdown", "JSON", "YAML", "MS SQL", "CSS", "comment", "blank", "total"
"c:\Ministerra\frontend\src\comp\bottomMenu\Menu.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"c:\Ministerra\frontend\src\comp\bottomMenu\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Ministerra\frontend\src\comp\contentStrips\ChatStrip.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Ministerra\frontend\src\comp\contentStrips\EventStrip.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Ministerra\frontend\src\comp\contentStrips\MessageStrip.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Ministerra\frontend\src\comp\contentStrips\UserStrip.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 2, 0, 22
"c:\Ministerra\frontend\src\comp\menuStrips\ChatsListMenuStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 6
"c:\Ministerra\frontend\src\comp\menuStrips\EveMenuStrip.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Ministerra\frontend\src\comp\menuStrips\MessMenuStrip.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Ministerra\frontend\src\comp\menuStrips\UserMenuStrip.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Ministerra\frontend\src\comp\menuStrips\stripButtonsJSX.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\src\css\VisualClasses.css", "CSS", 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"c:\Ministerra\frontend\src\hooks\socketIO\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 20, 20
"c:\Ministerra\frontend\src\hooks\socketIO\alertsHandlers.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 5, 2, 20
"c:\Ministerra\frontend\src\hooks\socketIO\chatsHandlers.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 6, 12, 84
"c:\Ministerra\frontend\src\hooks\socketIO\socketHandlers.js", "JavaScript", -116, 0, 0, 0, 0, 0, 0, 21, -9, -104
"c:\Ministerra\frontend\src\hooks\socketIO\transport.js", "JavaScript", -376, 0, 0, 0, 0, 0, 0, 18, -36, -394
"c:\Ministerra\frontend\src\hooks\useCommentsMan.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Ministerra\frontend\src\hooks\useErrorsMan.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\src\hooks\useToast.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\src\loaders\editorLoader.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Ministerra\frontend\src\loaders\eventLoader.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Ministerra\frontend\src\loaders\foundationLoader.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 6, 4, 54
"c:\Ministerra\frontend\src\loaders\setupLoader.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Ministerra\frontend\src\mainSections\Event.jsx", "JavaScript JSX", 0, -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Ministerra\frontend\src\mainSections\Foundation.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Ministerra\frontend\src\mainSections\Home.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 2, 1, 6
"c:\Ministerra\frontend\src\utils\locationUtils.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Ministerra\frontend\src\utils\userProfileUtils.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Ministerra\frontend\workers\forageSetWorker.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 21, 17, 147
"c:\Ministerra\scripts\docker-clean.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 0, 13
"Total", "-", -570, 563, 4, 8, 8, 829, 10, 892, 199, 1943
