"filename", "language", "Ignore", "JSON with Comments", "JSON", "JavaScript", "JavaScript JSX", "HTML", "Markdown", "YAML", "CSV", "Properties", "Docker", "CSS", "XML", "MS SQL", "comment", "blank", "total"
"c:\Ministerra\FrontEnd\src\comp\contentStrips\MessageStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 142
"c:\Ministerra\FrontEnd\src\comp\contentStrips\UserStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 228
"c:\Ministerra\FrontEnd\src\comp\menuStrips\AlertMenuStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 226
"c:\Ministerra\FrontEnd\src\comp\menuStrips\ChatMenuStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 95
"c:\Ministerra\FrontEnd\src\comp\menuStrips\ChatsListMenuStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"c:\Ministerra\FrontEnd\src\comp\menuStrips\EveMenuStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 19, 298
"c:\Ministerra\FrontEnd\src\comp\menuStrips\MessMenuStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 52
"c:\Ministerra\FrontEnd\src\comp\menuStrips\UserMenuStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 171
"c:\Ministerra\FrontEnd\src\comp\menuStrips\helpers.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Ministerra\FrontEnd\src\comp\menuStrips\stripButtonsJSX.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 107
"c:\Ministerra\FrontEnd\src\contexts\globalContext.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 8
"c:\Ministerra\FrontEnd\src\css\FluiDesign.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3157, 0, 0, 5, 50, 3212
"c:\Ministerra\FrontEnd\src\css\SpacingElements.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 829, 0, 0, 1, 43, 873
"c:\Ministerra\FrontEnd\src\css\VisualClasses.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1666, 0, 0, 22, 198, 1886
"c:\Ministerra\FrontEnd\src\hooks\useCentralFlex.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"c:\Ministerra\FrontEnd\src\hooks\useCommentsMan.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 57
"c:\Ministerra\FrontEnd\src\hooks\useErrorsMan.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Ministerra\FrontEnd\src\hooks\useFadeIn.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Ministerra\FrontEnd\src\hooks\useLinksAndBlocks.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 117
"c:\Ministerra\FrontEnd\src\hooks\useMasonResize.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Ministerra\FrontEnd\src\hooks\useScrollDir.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Ministerra\FrontEnd\src\hooks\useSocketIO.js", "JavaScript", 0, 0, 0, 1031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 106, 1178
"c:\Ministerra\FrontEnd\src\hooks\useToast.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 77
"c:\Ministerra\FrontEnd\src\icons\types\SVG\0.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 155
"c:\Ministerra\FrontEnd\src\icons\types\SVG\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 1, 91
"c:\Ministerra\FrontEnd\src\icons\types\SVG\10.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 1, 122
"c:\Ministerra\FrontEnd\src\icons\types\SVG\11.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 49
"c:\Ministerra\FrontEnd\src\icons\types\SVG\12.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Ministerra\FrontEnd\src\icons\types\SVG\13.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 1, 85
"c:\Ministerra\FrontEnd\src\icons\types\SVG\14.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 1, 133
"c:\Ministerra\FrontEnd\src\icons\types\SVG\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 1, 77
"c:\Ministerra\FrontEnd\src\icons\types\SVG\3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 1, 85
"c:\Ministerra\FrontEnd\src\icons\types\SVG\4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 1, 282
"c:\Ministerra\FrontEnd\src\icons\types\SVG\5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 1, 501
"c:\Ministerra\FrontEnd\src\icons\types\SVG\6.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 1, 196
"c:\Ministerra\FrontEnd\src\icons\types\SVG\7.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 1, 89
"c:\Ministerra\FrontEnd\src\icons\types\SVG\8.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 1, 143
"c:\Ministerra\FrontEnd\src\icons\types\SVG\9.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 69
